从内存中读取

Picasso                               Fresco                         Glide                      UIL                           Volley
1.687239                              3.307187                       7.2445829999999996         115.320572                    168.634323
0.7804169999999999                    0.955156                       13.625052                  164.95374999999999            170.165416
0.8881249999999999                    1.4717179999999999             13.058905999999999         180.103646                    146.87802
1.080416                              1.087604                       5.805155999999999          133.90552                     153.337188
1.3724999999999998                    2.585989                       13.366406                  114.77953099999999            155.255469
0.338333                              6.252968999999999              63.598333                  140.14583299999998            256.27187499999997
0.798333                              1.1342189999999999             14.508229                  174.571249                    137.281979
1.611719                              1.520573                       10.223334                  122.75177099999999            156.922135
1.5884889999999998                    2.405052                       4.650156                   113.47650999999999            183.473906
0.718073                              0.9175                         10.599219                  126.212813                    154.1825
0.692448                              0.88276                        2.92151                    224.03963499999998            245.95244799999998
